Run[#],TestType[test.f],Files[#],TotalSize[MB],TotalOps[#],Throughput[ops/s],Latency[ms/op]
0,def_fileserver.f,50000,48.828MB,54010272,900111.013,0.0
1,def_fileserver.f,50000,97.656MB,53525615,892033.222,0.0
2,def_fileserver.f,50000,195.312MB,52788336,879749.281,0.1
3,def_fileserver.f,50000,390.625MB,50303087,838330.404,0.1
4,def_fileserver.f,50000,781.250MB,45567503,759405.845,0.1
5,def_fileserver.f,50000,1562.500MB,37105795,618364.576,0.1
6,def_fileserver.f,50000,3125.000MB,26983432,449689.870,0.1
7,def_fileserver.f,50000,6250.000MB,16406853,273424.865,0.2
0,def_varmail.f,50000,48.828MB,55187037,919722.666,0.0
1,def_varmail.f,50000,97.656MB,55488488,924745.451,0.0
2,def_varmail.f,50000,195.312MB,54528672,908747.497,0.0
3,def_varmail.f,50000,390.625MB,54809919,913438.835,0.0
4,def_varmail.f,50000,781.250MB,54496665,908219.246,0.0
5,def_varmail.f,50000,1562.500MB,53627430,893731.916,0.0
6,def_varmail.f,50000,3125.000MB,54457282,907553.451,0.0
7,def_varmail.f,50000,6250.000MB,53747005,895721.910,0.0
0,def_webserver.f,50000,48.828MB,,,
1,def_webserver.f,,,,,
2,def_webserver.f,50000,195.312MB,,,
3,def_webserver.f,50000,390.625MB,,,
4,def_webserver.f,50000,781.250MB,,,
5,def_webserver.f,50000,1562.500MB,,,
6,def_webserver.f,50000,3125.000MB,,,
7,def_webserver.f,50000,6250.000MB,,,
